label,LST,NDVI,elevation,ACQ_DATE
0,15460.0,2580.0,1788,1627245083647
1,15773.0,4764.0,289,1627862400000
1,15635.0,5587.0,594,1627689600000
0,15304.5,6111.0,1097,1625283597541
1,15613.0,5941.0,826,1627776000000
1,15735.0,5106.0,894,1627862400000
0,15323.0,4488.0,1080,1625142258929
1,15667.0,4971.0,794,1627689600000
1,15665.0,4037.0,942,1627689600000
0,15315.0,4595.0,1112,1627245083647
1,15443.0,5174.0,1020,1627776000000
1,15632.5,4335.0,109,1627516800000
0,15189.5,5609.0,1642,1626856071727
1,15464.0,5592.0,849,1627862400000
1,15521.5,5558.0,582,1627603200000
0,14995.0,3449.0,1821,1627245083647
0,15353.0,5986.0,381,1627245083647
0,15513.5,2255.0,1529,1625256708334
1,15553.0,4264.0,1205,1627689600000
1,15716.0,5543.0,428,1627862400000
1,15341.0,5918.0,1380,1627948800000
0,15573.0,3423.0,1183,1627047011515
0,15588.0,4993.0,956,1627245083647
0,15967.0,1832.0,1355,1626460365972
1,15366.5,3939.0,1137,1627603200000
1,15682.5,5872.0,174,1627516800000
1,15225.0,5607.0,1395,1627948800000
1,15850.5,4037.0,41,1627516800000
1,15335.0,5816.0,1129,1627603200000
1,15516.0,4836.0,1000,1627948800000
0,15105.0,4644.0,1500,1627245083647
1,15283.0,6336.0,1129,1628121600000
1,15630.5,3717.0,538,1627516800000
0,15089.0,6508.0,1106,1627223880440
1,15421.0,6177.0,853,1627689600000
1,15284.5,6275.0,1135,1628121600000
1,15502.5,4027.0,970,1627516800000
0,15306.0,5515.0,1119,1627005326232
1,15528.5,6435.0,693,1628121600000
0,15312.0,4942.0,1132,1627243261650
1,15659.0,4563.0,809,1627948800000
1,15309.0,5154.0,1452,1627862400000
1,15421.5,4598.0,1350,1627603200000
1,15521.5,5122.0,893,1627603200000
1,15782.0,6984.0,226,1627689600000
1,15741.0,5387.5,85,1627430400000
1,15419.0,4745.0,1368,1627689600000
1,15590.0,5705.0,521,1627603200000
1,15451.0,7014.0,951,1627776000000
1,15604.0,5263.0,833,1627776000000
0,15770.0,1976.0,1506,1627245083647
1,15585.0,5059.0,479,1627862400000
1,15712.0,5807.0,393,1627862400000
1,15647.0,4188.0,325,1627516800000
1,15597.0,5457.0,744,1627689600000
1,15630.0,4540.0,447,1627516800000
1,15726.0,5123.0,569,1627603200000
1,15841.0,5787.0,157,1627689600000
1,15616.0,6083.0,487,1627948800000
1,16001.0,4028.0,133,1627862400000
1,15749.0,5628.0,240,1627516800000
1,15280.5,5682.0,1484,1627603200000
0,15326.5,4654.5,1272,1625984424476
1,15574.0,4935.0,318,1628640000000
0,15125.0,2334.0,2117,1627245083647
1,15538.0,6277.0,552,1627689600000
1,15314.0,6769.0,1240,1627948800000
1,15309.0,6576.0,1073,1627862400000
1,15370.0,4398.0,1101,1627603200000
1,15539.0,6377.0,710,1628121600000
1,15775.0,4940.5,92,1627430400000
1,15738.5,5201.0,272,1627430400000
0,15765.0,4085.0,228,1626345920166
1,15630.5,3649.0,659,1627516800000
1,15779.5,3166.0,43,1627516800000
0,15547.0,3507.0,1343,1626896843147
1,15394.0,4595.0,1455,1627689600000
1,15372.5,4310.0,1168,1627603200000
0,15760.0,4406.0,390,1626490740637
